out,esc,binary,hold,rmin_min,drift_end,gate_ratio
runs/out/longrun_nu0.00218_ed010,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9986850065749672
runs/out/scan_gf0.92_nu0.00218_bh1.0,False,True,111.075,0.0450799269637404,-0.988746099206238,0.9967125410932364
runs/out/scan_gf0.92_nu0.00218_bh1.5,False,True,111.075,0.0450799269637404,-0.988746099206238,0.9967125410932364
runs/out/scan_gf0.94_nu0.00218_bh1.0,False,True,111.075,0.0450799269637404,-0.988746099206238,0.9971375357808028
runs/out/scan_gf0.94_nu0.00218_bh1.5,False,True,111.075,0.0450799269637404,-0.988746099206238,0.9971375357808028
runs/out/confirm_nu022_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.2924435377823111
runs/out/longrun_gf0.92_nu022_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.2924435377823111
runs/out/longrun_gf0.94_nu022_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.294558527207364
runs/out/longrun_nu0.00220_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.2924435377823111
runs/out/longrun_nu22_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.2924435377823111
runs/out/longrun_300s,False,True,39.657000000000004,0.0091863187113945,1.0854307016644358,0.37073814630926843
runs/out/longrun_ck0.0025,False,True,39.657000000000004,0.0091863187113945,1.0854307016644358,0.37073814630926843
runs/out/longrun_nu0.00215,False,True,4.4385,0.0030209923596474,0.8750426795641951,0.08688956555217224
runs/out/longrun1200_nu00218_bh15,True,True,372.156,0.0047216755814038,2.1244372742697633,0.41133198583501773
runs/out/longrun600_gf0.92_nu00218_bh15,True,True,372.156,0.0083929543327921,63.50364892161678,0.7286881782795543
runs/out/longrun600_gf0.94_nu00218_bh15,True,True,372.156,0.0083929543327921,63.50364892161678,0.7298481753795616
runs/out/scan600_nu0.00218_bh15,True,True,372.156,0.0083929543327921,63.50364892161678,0.7298481753795616
runs/out/scan600_nu0.00219_bh15,True,True,169.96800000000002,0.0042147435014778,2.0038646888996747,0.3035517411206472
runs/out/scan_gf0.92_nu0.00219_bh1.0,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9967125410932364
runs/out/scan_gf0.92_nu0.00219_bh1.5,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9967125410932364
runs/out/scan_gf0.94_nu0.00219_bh1.0,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9971375357808028
runs/out/scan_gf0.94_nu0.00219_bh1.5,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9971375357808028
runs/out/longrun_ck0.0026,True,True,58.7295,0.0010915026833136,25420.64089313818,0.23154884225578873
runs/out/longrun_best_nu22,True,True,57.111000000000004,0.0051803267158742,2.281105432146177,0.24201378993105035
runs/out/longrun_nu0.00220,True,True,57.111000000000004,0.0051803267158742,2.281105432146177,0.24201378993105035
runs/out/longrun_nu0.00222_ed010,True,True,50.920500000000004,0.0022563021853118,1426.258848213823,0.40548297258513705
runs/out/longrun_ck0.0024,True,True,39.1395,0.0040606907626817,2952.7005797062316,0.24785376073119633
runs/out/longrun_300s_dt12,True,True,24.824399999999997,0.0117049377674341,-1.4283855071952916,0.18429126283494865
runs/out/scan600_nu0.00217_bh15,True,True,17.2545,0.0060647950410811,13.17097203656039,0.086079784800538
runs/out/longrun_nu0.00225,True,True,14.913,0.0087960295481444,60.14102988823824,0.22433387833060836
runs/out/longrun_ck0.0023,True,True,2.8425000000000002,0.0090903816827647,75.28267193572499,0.10873945630271849
runs/out/scan_gf0.92_nu0.00217_bh1.0,True,False,0.7995,0.0124458680542688,52.97496737851841,0.12126098423769703
runs/out/scan_gf0.92_nu0.00217_bh1.5,True,False,0.7995,0.0124458680542688,52.97496737851841,0.12126098423769703
runs/out/scan_gf0.94_nu0.00217_bh1.0,True,False,0.7995,0.0124458680542688,52.97496737851841,0.1219109761127986
runs/out/scan_gf0.94_nu0.00217_bh1.5,True,False,0.7995,0.0124458680542688,52.97496737851841,0.1219109761127986
